iter	Logloss	Precision:use_weights=true	Precision:use_weights=false
61	0.5087117638	0.755514704	0.4540571877
62	0.5084838637	0.7561464729	0.4549059151
63	0.508264798	0.7566178649	0.4555403322
64	0.5080597562	0.757034687	0.4561021224
65	0.5078833833	0.7569427811	0.4559781863
66	0.5076921275	0.7571210293	0.4562185897
67	0.5074981632	0.7575740473	0.4568302068
68	0.5072787634	0.7580835383	0.457519153
69	0.5071250087	0.7583029219	0.4578161633
70	0.5069407234	0.7585057972	0.4580910142
71	0.5067789463	0.7586293547	0.4582584968
72	0.5066463492	0.7588135792	0.4585083398
73	0.5064715834	0.7589968237	0.4587570035
74	0.5062904783	0.7589420164	0.458682614
75	0.5061297934	0.7592925248	0.4591585873
76	0.5059787711	0.7595772515	0.4595456357
77	0.5058613047	0.7596992092	0.4597115318
78	0.5057483593	0.7597374321	0.4597635393
79	0.5056027674	0.7601211868	0.4602860515
80	0.5054828112	0.7602273958	0.4604307799
81	0.5053403747	0.7604289676	0.4607055961
82	0.5052311314	0.7605446306	0.4608633694
83	0.5051213284	0.7606382963	0.4609911806
84	0.5050137169	0.7608009309	0.4612131969
85	0.5049050941	0.7607432186	0.461134399
86	0.5048008965	0.7608499269	0.4612801058
87	0.5047101854	0.7610331609	0.4615304257
88	0.5046014716	0.7609195091	0.4613751457
89	0.5044925535	0.7610508024	0.4615545341
90	0.5043646754	0.761090979	0.4616094436
91	0.5042708921	0.761112529	0.461638899
92	0.5041642409	0.7612134687	0.4617768955
93	0.5040750684	0.7611027106	0.4616254786
94	0.5039693368	0.7612242156	0.4617915905
95	0.5038574608	0.7613850995	0.4620116405
96	0.5037700236	0.7612918699	0.461884111
97	0.5036921928	0.7614478129	0.4620974488
98	0.503592499	0.7614752103	0.4621349411
99	0.5035218517	0.7614380653	0.4620841104
100	0.5034516401	0.7614252407	0.4620665621
101	0.5033759333	0.7614840872	0.4621470896
102	0.5033146659	0.761547867	0.4622343856
103	0.5032428753	0.7615890735	0.462290795
104	0.5031609311	0.761812668	0.4625970175
105	0.5030690483	0.7617822704	0.4625553734
106	0.5030042897	0.7617760478	0.4625468491
107	0.5029367315	0.7618182042	0.4626046025
108	0.5028609834	0.7618867583	0.4626985372
109	0.5028131188	0.7620219532	0.4628838475
110	0.5027553468	0.7621362077	0.4630405193
111	0.5027025374	0.7620975559	0.4629875113
112	0.5026403172	0.7621706185	0.4630877168
113	0.5025884729	0.762375968	0.4633694836
114	0.5025352525	0.7623275807	0.4633030726
115	0.5024719707	0.7623347013	0.4633128449
116	0.5024030667	0.762484287	0.4635181885
117	0.5023544631	0.7625454667	0.4636022022
118	0.502307902	0.7626072437	0.4636870532
119	0.5022408448	0.7626758388	0.4637812893
120	0.5021798484	0.7626673566	0.4637696353
121	0.5021261806	0.7627513877	0.4638851033
122	0.5020747048	0.7627844189	0.4639305004
123	0.5020227343	0.7626723334	0.4637764731
124	0.5019662824	0.7628266378	0.4639885323
125	0.5019081284	0.7628411852	0.4640085303
126	0.5018418909	0.7628765874	0.4640572008
127	0.5017936553	0.7629514806	0.4641601819
128	0.5017388858	0.7629991457	0.4642257365
129	0.5016814644	0.7630436578	0.4642869641
130	0.5016354885	0.7631726371	0.4644644294
131	0.5015912184	0.7632657237	0.4645925563
132	0.501546148	0.763255316	0.4645782289
133	0.5014873372	0.7633120708	0.4646563643
134	0.501425225	0.7634384546	0.464830412
135	0.5013905804	0.7634089101	0.4647897188
136	0.5013681355	0.7634107005	0.4647921846
137	0.5013185109	0.7634311087	0.4648202938
138	0.5012613806	0.7634228713	0.4648089479
139	0.5012119998	0.7634742516	0.4648797227
140	0.5011643512	0.7634366661	0.4648279485
141	0.5011186554	0.7634416815	0.4648348569
142	0.5010829656	0.7635738135	0.4650169005
143	0.501032584	0.7635247556	0.4649493021
144	0.5009840596	0.7635374654	0.4649668144
145	0.5009321971	0.7635655519	0.4650055158
146	0.5008934444	0.7635649793	0.4650047267
147	0.5008521879	0.7635871441	0.4650352711
148	0.5007965211	0.7635966025	0.4650483058
149	0.5007550878	0.7636633448	0.4651402965
150	0.5007129354	0.7635490366	0.4649827583
151	0.5006563963	0.7636125465	0.4650702795
152	0.5006273453	0.7636042835	0.4650588915
153	0.5005860192	0.7636473972	0.4651183142
154	0.5005498722	0.7636716179	0.4651517008
155	0.5005074281	0.76365626	0.4651305307
156	0.5004523742	0.7637670331	0.4652832502
157	0.5004151059	0.7638252465	0.4653635297
158	0.5003625669	0.7638775622	0.465435689
159	0.5003082901	0.7639546273	0.4655420083
160	0.5002488865	0.764065204	0.4656946075
161	0.5002286269	0.7639892191	0.46558974
162	0.500176435	0.7639342687	0.4655139188
163	0.5001438695	0.7639975481	0.4656012337
164	0.5001102555	0.764080331	0.4657154876
165	0.5000720993	0.7641667608	0.4658348084
166	0.500036984	0.7641843453	0.4658590888
167	0.5000098655	0.7642257485	0.4659162634
168	0.4999615446	0.7643398741	0.4660739026
169	0.4999061415	0.7643795712	0.4661287493
170	0.4998682045	0.7644293097	0.4661974797
171	0.4998079347	0.7644242478	0.4661904845
172	0.4997787392	0.7644986521	0.4662933184
173	0.4997405141	0.7645324769	0.4663400759
174	0.4997126842	0.7646365545	0.4664839798
175	0.4996790158	0.7647889549	0.4666947872
176	0.4996520618	0.7647643956	0.4666608084
177	0.4995948357	0.7648016485	0.4667123504
178	0.4995489052	0.76476863	0.4666666667
179	0.4995296914	0.7647711698	0.4666701806
180	0.4995014567	0.7647364523	0.4666221512
181	0.4994548252	0.7648439813	0.4667709285
182	0.4994212044	0.7649100637	0.4668623866
183	0.4993827848	0.764935464	0.4668975459
184	0.4993449773	0.7649872121	0.4669691853
185	0.4993033458	0.7651320182	0.4671697184
186	0.499272107	0.7651608477	0.4672096542
187	0.4992365961	0.7651625132	0.4672119613
188	0.4992019164	0.7651904022	0.467250598
189	0.4991713693	0.7651574136	0.4672048968
190	0.4991261342	0.7652371531	0.4673153737
191	0.4991021388	0.7652913938	0.4673905392
192	0.4990849573	0.7653456381	0.4674657233
193	0.4990657726	0.7652871155	0.46738461
194	0.4990341744	0.765227776	0.4673023804
195	0.4990074295	0.7652430875	0.4673235967
196	0.498968308	0.7653718567	0.467502068
197	0.4989374068	0.7654676547	0.4676348913
198	0.4989100417	0.7654371504	0.4675925926
199	0.4988831841	0.765425278	0.467576131
200	0.4988525016	0.7654312141	0.4675843616
201	0.4988129246	0.765373507	0.4675043556
202	0.4987871641	0.7653955986	0.467534982
203	0.4987488236	0.7653741723	0.467505278
204	0.4987179117	0.7654766902	0.4676474211
205	0.4986872061	0.7655088223	0.4676919828
206	0.4986662845	0.765515576	0.4677013497
207	0.4986440808	0.7655266249	0.467716674
208	0.4986164913	0.7655673497	0.4677731625
209	0.4985827077	0.7656107527	0.4678333744
210	0.4985651516	0.7656166898	0.4678416114
211	0.4985314474	0.7656809485	0.4679307734
212	0.498495138	0.7657198199	0.4679847186
213	0.4984601362	0.7656502188	0.4678881321
214	0.4984332409	0.765729004	0.4679974651
215	0.4984162424	0.7657181953	0.4679824639
216	0.4983840682	0.76588175	0.4682095178
217	0.4983482817	0.7658318204	0.4681401902
218	0.4983146493	0.7658018572	0.4680985915
219	0.4982806995	0.765801048	0.4680974682
220	0.4982525625	0.7658995659	0.468234258
221	0.498222579	0.7659014761	0.4682369107
222	0.4981948482	0.7659700345	0.4683321295
223	0.4981770484	0.7659692312	0.4683310136
224	0.4981635995	0.7659438621	0.4682957769
225	0.4981324437	0.7659608799	0.4683194136
226	0.4981088193	0.7659422534	0.4682935424
227	0.4980844574	0.766015153	0.468394805
228	0.4980483442	0.7659727617	0.4683359177
229	0.4980244539	0.7659538225	0.468309611
230	0.4979994969	0.7660469263	0.4684389479
231	0.4979771952	0.7660315103	0.4684175298
232	0.4979612683	0.766075482	0.4684786246
233	0.4979224841	0.7659934725	0.4683646868
234	0.497894238	0.7659891386	0.4683586664
235	0.4978731897	0.765981595	0.4683481876
236	0.4978475474	0.7660279744	0.4684126173
237	0.4978290203	0.7660544662	0.468449424
238	0.4977953345	0.766119805	0.4685402167
239	0.4977669114	0.7661503048	0.468582605
240	0.4977305017	0.7661637786	0.4686013321
241	0.4976965758	0.7661000363	0.4685127446
242	0.4976693633	0.766075482	0.4684786246
243	0.4976492323	0.7661677582	0.4686068635
244	0.4976087393	0.7661526944	0.4685859262
245	0.4975884933	0.7662239812	0.4686850174
246	0.4975665426	0.7661792136	0.4686227861
247	0.497538432	0.7662077472	0.4686624496
248	0.4975111959	0.7662457706	0.4687153102
249	0.4974871526	0.7662865638	0.4687720288
250	0.4974671429	0.7663043878	0.4687968136
251	0.4974462184	0.7662449776	0.4687142077
252	0.4974185402	0.7662390371	0.4687059487
253	0.4974008099	0.7662841888	0.4687687264
254	0.4973730845	0.7663444013	0.468852459
255	0.4973362764	0.7663222126	0.468821601
256	0.4973041665	0.7663650169	0.4688811312
257	0.4972769956	0.7663935202	0.4689207771
258	0.4972607066	0.7664335498	0.4689764613
259	0.4972279478	0.7664648412	0.4690199951
